order_id,customer_id,product_id,order_date,quantity,amount,status
1001,101,201,2024-01-05,1,65000.00,Completed
1002,102,202,2024-01-07,1,32000.00,Completed
1003,103,203,2024-01-10,2,5000.00,Completed
1004,104,204,2024-01-12,1,7500.00,Pending
1005,105,205,2024-01-15,1,12000.00,Completed
1006,106,206,2024-01-18,5,1750.00,Completed
1007,107,207,2024-01-20,10,500.00,Completed
1008,108,208,2024-01-22,2,1600.00,Cancelled
1009,109,209,2024-01-24,1,2200.00,Completed
1010,110,210,2024-01-26,1,18000.00,Completed
1011,111,211,2024-02-01,2,3000.00,Completed
1012,112,212,2024-02-03,3,2100.00,Completed
1013,113,213,2024-02-05,1,14500.00,Pending
1014,114,214,2024-02-07,4,1800.00,Completed
1015,115,215,2024-02-10,2,3600.00,Completed
1016,116,201,2024-02-12,1,65000.00,Completed
1017,117,202,2024-02-14,2,64000.00,Completed
1018,118,203,2024-02-16,4,10000.00,Completed
1019,119,204,2024-02-18,2,15000.00,Cancelled
1020,120,205,2024-02-20,1,12000.00,Completed
1021,101,210,2024-03-01,1,18000.00,Completed
1022,102,211,2024-03-02,2,3000.00,Completed
1023,103,212,2024-03-04,1,700.00,Completed
1024,104,213,2024-03-06,1,14500.00,Completed
1025,105,214,2024-03-08,3,1350.00,Completed
1026,106,215,2024-03-10,2,3600.00,Completed
1027,107,201,2024-03-12,1,65000.00,Completed
1028,108,202,2024-03-14,1,32000.00,Pending
1029,109,203,2024-03-16,3,7500.00,Completed
1030,110,204,2024-03-18,1,7500.00,Completed
1031,111,205,2024-04-01,2,24000.00,Completed
1032,112,206,2024-04-03,10,3500.00,Completed
1033,113,207,2024-04-05,20,1000.00,Completed
1034,114,208,2024-04-07,5,4000.00,Completed
1035,115,209,2024-04-09,2,4400.00,Pending
1036,116,210,2024-04-11,1,18000.00,Completed
1037,117,211,2024-04-13,3,4500.00,Completed
1038,118,212,2024-04-15,5,3500.00,Completed
1039,119,213,2024-04-17,1,14500.00,Completed
1040,120,214,2024-04-19,6,2700.00,Cancelled
1041,101,215,2024-05-01,4,7200.00,Completed
1042,103,201,2024-05-03,1,65000.00,Completed
1043,105,202,2024-05-05,1,32000.00,Completed
1044,107,210,2024-05-07,2,36000.00,Completed
1045,109,205,2024-05-09,1,12000.00,Pending
1046,111,204,2024-05-11,1,7500.00,Completed
1047,113,209,2024-05-13,2,4400.00,Completed
1048,115,211,2024-05-15,4,6000.00,Completed
1049,117,203,2024-05-17,5,12500.00,Completed
1050,119,206,2024-05-20,8,2800.00,Completed
